Lr: 2.905e-03 | Update: 5.313e-04 mean,1.146e-03 std | Epoch: [0][580/2000] | Time 0.153 (0.147) | Data 0.006 (0.006) | Loss 1.1085 (2.2420) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:24]
Lr: 2.955e-03 | Update: 1.778e-03 mean,5.439e-03 std | Epoch: [0][590/2000] | Time 0.133 (0.147) | Data 0.005 (0.006) | Loss 2.0686 (2.2278) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:15]
Lr: 3.005e-03 | Update: 3.142e-04 mean,7.622e-04 std | Epoch: [0][600/2000] | Time 0.141 (0.147) | Data 0.005 (0.006) | Loss 1.1742 (2.2111) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:03]
Lr: 3.055e-03 | Update: 4.557e-04 mean,9.152e-04 std | Epoch: [0][610/2000] | Time 0.152 (0.147) | Data 0.006 (0.006) | Loss 1.2140 (2.1962) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:00]
Lr: 3.105e-03 | Update: 3.111e-04 mean,5.805e-04 std | Epoch: [0][620/2000] | Time 0.142 (0.147) | Data 0.006 (0.006) | Loss 1.2867 (2.1830) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:51]
Lr: 3.155e-03 | Update: 6.747e-04 mean,1.365e-03 std | Epoch: [0][630/2000] | Time 0.142 (0.147) | Data 0.005 (0.006) | Loss 1.4619 (2.1687) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:48]
Lr: 3.205e-03 | Update: 2.076e-04 mean,5.172e-04 std | Epoch: [0][640/2000] | Time 0.153 (0.147) | Data 0.006 (0.006) | Loss 1.3480 (2.1535) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:49]
Lr: 3.255e-03 | Update: 3.884e-04 mean,7.382e-04 std | Epoch: [0][650/2000] | Time 0.144 (0.147) | Data 0.005 (0.006) | Loss 1.2612 (2.1394) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:40]
Lr: 3.305e-03 | Update: 5.361e-04 mean,2.184e-03 std | Epoch: [0][660/2000] | Time 0.142 (0.147) | Data 0.005 (0.006) | Loss 1.0212 (2.1239) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:32]
Lr: 3.355e-03 | Update: 2.279e-03 mean,7.294e-03 std | Epoch: [0][670/2000] | Time 0.154 (0.147) | Data 0.006 (0.006) | Loss 2.0176 (2.1103) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:28]
Lr: 3.405e-03 | Update: 7.160e-04 mean,2.876e-03 std | Epoch: [0][680/2000] | Time 0.142 (0.147) | Data 0.006 (0.006) | Loss 0.9373 (2.0991) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:26]
Lr: 3.455e-03 | Update: 9.650e-04 mean,3.490e-03 std | Epoch: [0][690/2000] | Time 0.142 (0.147) | Data 0.005 (0.006) | Loss 0.9522 (2.0889) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:17]
Lr: 3.505e-03 | Update: 3.851e-04 mean,1.094e-03 std | Epoch: [0][700/2000] | Time 0.142 (0.147) | Data 0.005 (0.006) | Loss 1.2492 (2.0765) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:45:02]
Lr: 3.555e-03 | Update: 2.791e-03 mean,1.035e-02 std | Epoch: [0][710/2000] | Time 0.142 (0.147) | Data 0.006 (0.006) | Loss 2.2192 (2.0659) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:57]
Lr: 3.605e-03 | Update: 7.425e-04 mean,2.712e-03 std | Epoch: [0][720/2000] | Time 0.141 (0.147) | Data 0.005 (0.006) | Loss 0.9234 (2.0532) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:50]
Lr: 3.655e-03 | Update: 3.900e-04 mean,1.012e-03 std | Epoch: [0][730/2000] | Time 0.145 (0.147) | Data 0.006 (0.006) | Loss 1.1981 (2.0411) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:47]
Lr: 3.705e-03 | Update: 3.179e-04 mean,6.322e-04 std | Epoch: [0][740/2000] | Time 0.144 (0.147) | Data 0.005 (0.006) | Loss 1.0974 (2.0294) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:38]
Lr: 3.755e-03 | Update: 7.452e-04 mean,2.537e-03 std | Epoch: [0][750/2000] | Time 0.142 (0.147) | Data 0.005 (0.006) | Loss 0.9708 (2.0190) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:32]
Lr: 3.805e-03 | Update: 7.750e-04 mean,2.892e-03 std | Epoch: [0][760/2000] | Time 0.151 (0.147) | Data 0.006 (0.006) | Loss 0.8681 (2.0076) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:31]
Lr: 3.855e-03 | Update: 5.587e-04 mean,1.842e-03 std | Epoch: [0][770/2000] | Time 0.143 (0.147) | Data 0.006 (0.006) | Loss 0.8206 (1.9943) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:23]
Lr: 3.905e-03 | Update: 4.197e-04 mean,1.158e-03 std | Epoch: [0][780/2000] | Time 0.135 (0.147) | Data 0.006 (0.006) | Loss 1.0639 (1.9834) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:16]
Lr: 3.955e-03 | Update: 3.797e-04 mean,6.570e-04 std | Epoch: [0][790/2000] | Time 0.141 (0.147) | Data 0.006 (0.006) | Loss 1.1032 (1.9731) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:12]
Lr: 4.005e-03 | Update: 8.930e-04 mean,1.974e-03 std | Epoch: [0][800/2000] | Time 0.144 (0.146) | Data 0.005 (0.006) | Loss 0.9534 (1.9634) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:44:03]
Lr: 4.055e-03 | Update: 4.738e-04 mean,1.076e-03 std | Epoch: [0][810/2000] | Time 0.140 (0.146) | Data 0.006 (0.006) | Loss 0.8842 (1.9509) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:53]
Lr: 4.105e-03 | Update: 2.836e-04 mean,6.959e-04 std | Epoch: [0][820/2000] | Time 0.141 (0.146) | Data 0.006 (0.006) | Loss 1.0152 (1.9407) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:43]
Lr: 4.155e-03 | Update: 1.315e-03 mean,5.207e-03 std | Epoch: [0][830/2000] | Time 0.141 (0.146) | Data 0.005 (0.006) | Loss 1.7851 (1.9355) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:33]
Lr: 4.205e-03 | Update: 4.433e-04 mean,9.697e-04 std | Epoch: [0][840/2000] | Time 0.145 (0.146) | Data 0.006 (0.006) | Loss 1.3927 (1.9305) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:22]
Lr: 4.255e-03 | Update: 4.629e-04 mean,1.016e-03 std | Epoch: [0][850/2000] | Time 0.146 (0.146) | Data 0.006 (0.006) | Loss 1.2486 (1.9268) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:23]
Lr: 4.305e-03 | Update: 5.221e-04 mean,1.607e-03 std | Epoch: [0][860/2000] | Time 0.146 (0.146) | Data 0.005 (0.006) | Loss 1.0662 (1.9179) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:27]
Lr: 4.355e-03 | Update: 7.909e-04 mean,3.474e-03 std | Epoch: [0][870/2000] | Time 0.152 (0.146) | Data 0.005 (0.006) | Loss 0.8546 (1.9086) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:27]
Lr: 4.405e-03 | Update: 3.378e-04 mean,1.094e-03 std | Epoch: [0][880/2000] | Time 0.155 (0.146) | Data 0.006 (0.006) | Loss 0.9691 (1.8988) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:28]
Lr: 4.455e-03 | Update: 5.254e-04 mean,1.560e-03 std | Epoch: [0][890/2000] | Time 0.147 (0.146) | Data 0.006 (0.006) | Loss 0.7905 (1.8886) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:28]
Lr: 4.505e-03 | Update: 3.750e-04 mean,6.541e-04 std | Epoch: [0][900/2000] | Time 0.142 (0.146) | Data 0.006 (0.006) | Loss 0.9174 (1.8784) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:18]
Lr: 4.555e-03 | Update: 6.120e-04 mean,1.697e-03 std | Epoch: [0][910/2000] | Time 0.141 (0.146) | Data 0.006 (0.006) | Loss 0.6925 (1.8694) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:12]
Lr: 4.605e-03 | Update: 3.014e-04 mean,5.902e-04 std | Epoch: [0][920/2000] | Time 0.143 (0.146) | Data 0.006 (0.006) | Loss 1.0403 (1.8603) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:43:05]
Lr: 4.655e-03 | Update: 6.618e-04 mean,1.768e-03 std | Epoch: [0][930/2000] | Time 0.133 (0.146) | Data 0.006 (0.006) | Loss 1.3879 (1.8553) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:54]
Lr: 4.705e-03 | Update: 7.544e-04 mean,2.982e-03 std | Epoch: [0][940/2000] | Time 0.152 (0.146) | Data 0.006 (0.006) | Loss 1.5061 (1.8492) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:54]
Lr: 4.755e-03 | Update: 1.244e-03 mean,5.466e-03 std | Epoch: [0][950/2000] | Time 0.146 (0.146) | Data 0.006 (0.006) | Loss 0.7619 (1.8412) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:50]
Lr: 4.805e-03 | Update: 4.899e-04 mean,1.913e-03 std | Epoch: [0][960/2000] | Time 0.142 (0.146) | Data 0.006 (0.006) | Loss 0.9671 (1.8339) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:43]
Lr: 4.855e-03 | Update: 4.205e-04 mean,1.233e-03 std | Epoch: [0][970/2000] | Time 0.144 (0.146) | Data 0.005 (0.006) | Loss 0.9323 (1.8255) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:36]
Lr: 4.905e-03 | Update: 7.016e-04 mean,2.006e-03 std | Epoch: [0][980/2000] | Time 0.135 (0.146) | Data 0.005 (0.006) | Loss 1.3938 (1.8189) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:31]
Lr: 4.955e-03 | Update: 7.345e-04 mean,2.871e-03 std | Epoch: [0][990/2000] | Time 0.155 (0.146) | Data 0.005 (0.006) | Loss 1.5693 (1.8129) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:29]
Lr: 5.005e-03 | Update: 8.371e-04 mean,3.353e-03 std | Epoch: [0][1000/2000] | Time 0.143 (0.146) | Data 0.006 (0.006) | Loss 0.7563 (1.8055) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:26]
Lr: 5.055e-03 | Update: 8.009e-04 mean,3.436e-03 std | Epoch: [0][1010/2000] | Time 0.146 (0.146) | Data 0.006 (0.006) | Loss 0.8102 (1.7999) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:34]
Lr: 5.105e-03 | Update: 1.584e-03 mean,3.049e-03 std | Epoch: [0][1020/2000] | Time 0.144 (0.146) | Data 0.005 (0.006) | Loss 1.4128 (1.7925) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:29]
Lr: 5.155e-03 | Update: 4.290e-04 mean,8.157e-04 std | Epoch: [0][1030/2000] | Time 0.144 (0.146) | Data 0.006 (0.006) | Loss 0.9455 (1.7846) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:23]
Lr: 5.205e-03 | Update: 4.334e-04 mean,1.093e-03 std | Epoch: [0][1040/2000] | Time 0.143 (0.146) | Data 0.006 (0.006) | Loss 0.8914 (1.7771) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:20]
Lr: 5.255e-03 | Update: 3.189e-04 mean,6.908e-04 std | Epoch: [0][1050/2000] | Time 0.141 (0.146) | Data 0.005 (0.006) | Loss 0.8836 (1.7701) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:11]
Lr: 5.305e-03 | Update: 6.896e-04 mean,1.668e-03 std | Epoch: [0][1060/2000] | Time 0.142 (0.146) | Data 0.006 (0.006) | Loss 1.3391 (1.7616) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:42:03]
Lr: 5.355e-03 | Update: 4.070e-04 mean,8.052e-04 std | Epoch: [0][1070/2000] | Time 0.143 (0.146) | Data 0.005 (0.006) | Loss 0.6793 (1.7533) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:41:59]
Lr: 5.405e-03 | Update: 7.395e-04 mean,1.284e-03 std | Epoch: [0][1080/2000] | Time 0.141 (0.146) | Data 0.005 (0.006) | Loss 0.7373 (1.7474) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:41:52]
Lr: 5.455e-03 | Update: 8.525e-04 mean,1.448e-03 std | Epoch: [0][1090/2000] | Time 0.140 (0.146) | Data 0.006 (0.006) | Loss 0.9519 (1.7401) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:41:47]
